warehouse_id,product_id,stocked,flow_capacity
GUT930,24,1,5688.0
GUT930,37,1,5664.0
GUT930,61,1,2016.0
GUT930,116,1,1152.0
GUT930,127,1,1956.0
GUT930,134,1,3024.0
GUT930,135,1,4584.0
GUT930,172,1,5796.0
GUT930,191,1,2904.0
GUT930,216,1,2496.0
GUT930,235,1,5472.0
GUT930,249,1,1632.0
GUT930,251,1,7032.0
GUT930,258,1,3372.0
GUT930,282,1,1536.0
GUT930,295,1,2208.0
GUT930,305,1,3432.0
GUT930,311,1,2664.0
GUT930,359,1,2328.0
GUT930,364,1,3444.0
GUT930,403,1,3744.0
GUT930,502,1,2724.0
GUT930,567,1,3192.0
GUT930,572,1,6876.0
GUT930,627,1,5676.0
GUT930,646,1,2772.0
GUT930,647,1,2640.0
GUT930,652,1,708.0
GUT930,671,1,3264.0
GUT930,677,1,5904.0
GUT930,691,1,1836.0
GUT930,715,1,3564.0
GUT930,730,1,6288.0
GUT930,768,1,1860.0
GUT930,771,1,1896.0
GUT930,786,1,1620.0
GUT930,792,1,3972.0
GUT930,793,1,2148.0
GUT930,810,1,2508.0
GUT930,818,1,3564.0
GUT930,822,1,5052.0
GUT930,823,1,3036.0
GUT930,828,1,5496.0
GUT930,845,1,3852.0
GUT930,885,1,8628.0
GUT930,897,1,3828.0
GUT930,906,1,4920.0
GUT930,957,1,1488.0
GUT930,977,1,2292.0
GUT930,1004,1,2832.0
GUT930,1059,1,1836.0
GUT930,1346,1,4464.0
GUT930,1348,1,864.0
GUT930,1350,1,5508.0
GUT930,1352,1,4860.0
GUT930,1355,1,4200.0
GUT930,1356,1,2760.0
GUT930,1358,1,4452.0
GUT930,1360,1,3432.0
GUT930,1361,1,5004.0
GUT930,1362,1,2208.0
AXW291,37,1,2808.0
AXW291,44,1,1380.0
AXW291,93,1,3960.0
AXW291,116,1,4356.0
AXW291,134,1,2592.0
AXW291,135,1,5148.0
AXW291,172,1,6876.0
AXW291,249,1,2316.0
AXW291,273,1,3600.0
AXW291,276,1,3012.0
AXW291,278,1,336.0
AXW291,282,1,408.0
AXW291,295,1,3072.0
AXW291,365,1,3192.0
AXW291,502,1,2388.0
AXW291,567,1,1488.0
AXW291,572,1,5460.0
AXW291,703,1,3168.0
AXW291,771,1,2232.0
AXW291,818,1,5400.0
AXW291,821,1,2076.0
AXW291,823,1,3288.0
AXW291,825,1,2160.0
AXW291,885,1,2364.0
AXW291,886,1,3456.0
AXW291,893,1,6252.0
AXW291,897,1,4608.0
AXW291,906,1,1476.0
AXW291,917,1,6612.0
AXW291,926,1,1308.0
AXW291,957,1,1944.0
AXW291,977,1,936.0
AXW291,1004,1,2580.0
AXW291,1014,1,7008.0
NXH382,19,1,2892.0
NXH382,24,1,5124.0
NXH382,37,1,4356.0
NXH382,44,1,2796.0
NXH382,78,1,1980.0
NXH382,134,1,1344.0
NXH382,135,1,2196.0
NXH382,203,1,2796.0
NXH382,249,1,2868.0
NXH382,273,1,2244.0
NXH382,276,1,5904.0
NXH382,278,1,480.0
NXH382,282,1,864.0
NXH382,305,1,4200.0
NXH382,306,1,2100.0
NXH382,359,1,3708.0
NXH382,403,1,5436.0
NXH382,572,1,6588.0
NXH382,646,1,3120.0
NXH382,647,1,5004.0
NXH382,652,1,1656.0
NXH382,671,1,3300.0
NXH382,703,1,1656.0
NXH382,705,1,2796.0
NXH382,724,1,3576.0
NXH382,725,1,1404.0
NXH382,773,1,4308.0
NXH382,778,1,3492.0
NXH382,797,1,2856.0
NXH382,804,1,3492.0
NXH382,810,1,1068.0
NXH382,818,1,5688.0
NXH382,821,1,4584.0
NXH382,823,1,2724.0
NXH382,825,1,5712.0
NXH382,885,1,3156.0
NXH382,893,1,4524.0
NXH382,897,1,2916.0
NXH382,905,1,8724.0
NXH382,917,1,5772.0
NXH382,924,1,2400.0
NXH382,926,1,2736.0
NXH382,977,1,2712.0
NXH382,981,1,5148.0
NXH382,1004,1,1800.0
