delivery_region,product_id,category_name,total_demand_units,num_orders,total_sales_value,avg_ship_days,late_delivery_rate,avg_order_size,revenue_per_order,total_demand_units_original,demand_std_dev
Canada,37,Baseball & Softball,4,1,104.9700012,4.0,0.0,3.0,104.9700012,3,1.0
Canada,93,Lacrosse,7,1,124.9499969,2.0,1.0,5.0,124.9499969,5,1.75
Canada,116,Tennis & Racquet,9,3,314.93001174,3.333333333333333,0.3333333333333333,2.333333333333333,104.97667058,7,2.25
Canada,134,Hockey,7,1,125.0,2.0,1.0,5.0,125.0,5,1.75
Canada,135,Hockey,2,1,44.0,2.0,1.0,2.0,44.0,2,0.5
Canada,172,Cardio Equipment,4,2,90.0,2.0,0.0,1.5,45.0,3,1.0
Canada,191,Cardio Equipment,344,74,24497.54999568,3.45945945945946,0.4864864864864865,3.310810810810811,331.0479729145946,245,86.0
Canada,235,Fitness Accessories,11,3,279.92000958,4.0,0.3333333333333333,2.6666666666666665,93.30666986,8,2.75
Canada,249,Boxing & MMA,19,4,769.5800171999999,3.0,0.25,3.5,192.3950043,14,4.75
Canada,273,Electronics,8,3,167.93999864,3.0,0.6666666666666666,2.0,55.97999954666667,6,2.0
Canada,276,Electronics,2,1,63.97999954,2.0,0.0,2.0,63.97999954,2,0.5
Canada,278,Electronics,11,3,359.92000958000006,3.333333333333333,0.3333333333333333,2.6666666666666665,119.97333652666669,8,2.75
Canada,282,Electronics,12,2,287.909996,2.0,1.0,4.5,143.954998,9,3.0
Canada,365,Cleats,602,145,25675.72074198,3.4,0.4620689655172413,2.9517241379310346,177.0739361515862,428,150.5
Canada,403,Men's Footwear,170,121,15728.7906655,3.173553719008265,0.4628099173553719,1.0,129.9900055,121,42.5
Canada,502,Women's Apparel,492,112,17500.0,3.5625,0.4821428571428571,3.125,156.25,350,123.0
Canada,564,Girls' Apparel,8,2,180.0,2.0,0.5,3.0,90.0,6,2.0
Canada,565,Girls' Apparel,14,3,700.0,3.0,0.0,3.333333333333333,233.33333333333331,10,3.5
Canada,567,Girls' Apparel,2,2,50.0,2.5,0.5,1.0,25.0,2,0.5
Canada,572,Girls' Apparel,14,3,399.90000528,3.0,0.6666666666666666,3.333333333333333,133.30000176,10,3.5
Canada,627,Shop By Sport,250,58,7118.22008792,2.9655172413793105,0.4137931034482758,3.0689655172413794,122.72793255034485,178,62.5
Canada,642,Shop By Sport,15,4,330.0,3.25,0.75,2.75,82.5,11,3.75
Canada,703,Golf Apparel,5,2,79.95999908,4.0,0.5,2.0,39.97999954,4,1.25
Canada,728,Golf Shoes,14,3,650.0,2.6666666666666665,0.3333333333333333,3.333333333333333,216.66666666666663,10,3.5
Canada,771,Golf Gloves,12,3,359.90999978,2.333333333333333,0.6666666666666666,3.0,119.96999992666667,9,3.0
Canada,775,Golf Gloves,11,2,79.92000007,5.5,1.0,4.0,39.960000035,8,2.75
Canada,792,Golf Balls,9,3,104.92999839,2.6666666666666665,0.0,2.333333333333333,34.976666130000005,7,2.25
Canada,793,Golf Balls,23,4,254.82999039,3.25,0.25,4.25,63.7074975975,17,5.75
Canada,797,Golf Balls,4,1,53.97000122,4.0,0.0,3.0,53.97000122,3,1.0
Canada,804,Golf Balls,1,1,19.98999977,2.0,0.0,1.0,19.98999977,1,0.25
Canada,810,Golf Balls,9,3,139.92999839,2.6666666666666665,0.3333333333333333,2.333333333333333,46.64333279666667,7,2.25
Canada,818,Electronics,15,5,527.89000698,3.0,0.8,2.2,105.578001396,11,3.75
Canada,822,Electronics,7,2,239.95000456,5.5,1.0,2.5,119.97500228,5,1.75
Canada,823,Electronics,7,1,259.9500122,4.0,0.0,5.0,259.9500122,5,1.75
Canada,825,Electronics,8,2,191.93999667,3.5,0.5,3.0,95.969998335,6,2.0
Canada,835,Electronics,15,3,351.88999942,4.666666666666667,0.6666666666666666,3.6666666666666665,117.29666647333332,11,3.75
Canada,885,Accessories,14,3,249.90000152,2.333333333333333,1.0,3.333333333333333,83.30000050666666,10,3.5
Canada,886,Accessories,9,2,174.93000030000002,3.0,0.5,3.5,87.46500015000001,7,2.25
Canada,893,Accessories,7,2,124.95000076,4.5,0.5,2.5,62.47500038,5,1.75
Canada,897,Accessories,2,1,49.97999954,3.0,0.0,2.0,49.97999954,2,0.5
Canada,905,Accessories,22,4,399.83999628,3.0,0.5,4.0,99.95999907,16,5.5
