warehouse_id,region,product_id,quantity,transport_cost,transit_time_days,meets_service_target
GUT930,Canada,365,602.0,21818.047902935366,5,False
GUT930,Canada,1014,469.0,16997.781505775227,5,False
GUT930,Caribbean,24,14.0,518.7495616954049,5,False
GUT930,Caribbean,35,2.0,74.1070802422007,5,False
GUT930,Caribbean,37,53.0,1963.8376264183185,5,False
GUT930,Caribbean,44,84.0,3112.4973701724293,5,False
GUT930,Caribbean,93,45.0,1667.4093054495156,5,False
GUT930,Caribbean,116,75.0,2779.015509082526,5,False
GUT930,Caribbean,134,37.0,1370.9809844807128,5,False
GUT930,Caribbean,135,80.0,2964.283209688028,5,False
GUT930,Caribbean,172,68.0,2519.6407282348237,5,False
GUT930,Caribbean,216,4.0,148.2141604844014,5,False
GUT930,Caribbean,235,64.0,2371.4265677504222,5,False
GUT930,Caribbean,249,54.0,2000.8911665394187,5,False
GUT930,Caribbean,251,28.0,1037.4991233908097,5,False
GUT930,Caribbean,258,14.0,518.7495616954049,5,False
GUT930,Caribbean,273,43.0,1593.302225207315,5,False
GUT930,Caribbean,276,91.0,3371.8721510201317,5,False
GUT930,Caribbean,278,39.0,1445.0880647229135,5,False
GUT930,Caribbean,282,40.0,1482.141604844014,5,False
GUT930,Caribbean,295,8.0,296.4283209688028,5,False
GUT930,Caribbean,306,12.0,444.64248145320414,5,False
GUT930,Caribbean,359,1.0,37.05354012110035,5,False
GUT930,Caribbean,365,5126.0,189936.44666076038,5,False
GUT930,Caribbean,564,47.0,1741.5163856917163,5,False
GUT930,Caribbean,565,83.0,3075.443830051329,5,False
GUT930,Caribbean,567,59.0,2186.1588671449204,5,False
GUT930,Caribbean,572,57.0,2112.05178690272,5,False
GUT930,Caribbean,625,4.0,148.2141604844014,5,False
GUT930,Caribbean,642,71.0,2630.8013485981246,5,False
GUT930,Caribbean,646,8.0,296.4283209688028,5,False
GUT930,Caribbean,647,5.0,185.26770060550174,5,False
GUT930,Caribbean,652,4.0,148.2141604844014,5,False
GUT930,Caribbean,666,5.0,185.26770060550174,5,False
GUT930,Caribbean,671,7.0,259.3747808477024,5,False
GUT930,Caribbean,677,18.0,666.9637221798063,5,False
GUT930,Caribbean,691,5.0,185.26770060550174,5,False
GUT930,Caribbean,703,80.0,2964.283209688028,5,False
GUT930,Caribbean,724,2.0,74.1070802422007,5,False
GUT930,Caribbean,728,64.0,2371.4265677504222,5,False
GUT930,Caribbean,730,12.0,444.64248145320414,5,False
GUT930,Caribbean,771,54.0,2000.8911665394187,5,False
GUT930,Caribbean,773,2.0,74.1070802422007,5,False
GUT930,Caribbean,777,23.0,852.231422785308,5,False
GUT930,Caribbean,778,88.0,3260.7115306568307,5,False
GUT930,Caribbean,786,2.0,74.1070802422007,5,False
GUT930,Caribbean,792,36.0,1333.9274443596125,5,False
GUT930,Caribbean,793,73.0,2704.9084288403255,5,False
GUT930,Caribbean,797,46.0,1704.462845570616,5,False
GUT930,Caribbean,804,94.0,3483.0327713834326,5,False
GUT930,Caribbean,810,39.0,1445.0880647229135,5,False
GUT930,Caribbean,818,74.0,2741.9619689614256,5,False
GUT930,Caribbean,821,61.0,2260.2659473871213,5,False
GUT930,Caribbean,822,39.0,1445.0880647229135,5,False
GUT930,Caribbean,823,61.0,2260.2659473871213,5,False
GUT930,Caribbean,825,47.0,1741.5163856917163,5,False
GUT930,Caribbean,828,68.0,2519.6407282348237,5,False
GUT930,Caribbean,835,42.0,1556.2486850862147,5,False
GUT930,Caribbean,885,28.0,1037.4991233908097,5,False
GUT930,Caribbean,886,54.0,2000.8911665394187,5,False
GUT930,Caribbean,893,35.0,1296.873904238512,5,False
GUT930,Caribbean,897,57.0,2112.05178690272,5,False
GUT930,Caribbean,905,53.0,1963.8376264183185,5,False
GUT930,Caribbean,906,80.0,2964.283209688028,5,False
GUT930,Caribbean,917,80.0,2964.283209688028,5,False
GUT930,Caribbean,924,59.0,2186.1588671449204,5,False
GUT930,Caribbean,926,60.0,2223.212407266021,5,False
GUT930,Caribbean,977,81.0,3001.336749809128,5,False
GUT930,Caribbean,981,14.0,518.7495616954049,5,False
GUT930,Caribbean,982,2.0,74.1070802422007,5,False
GUT930,Caribbean,1014,4018.0,148881.12420658118,5,False
GUT930,Caribbean,1073,1046.0,38758.00296667097,5,False
GUT930,Central Africa,365,968.0,32727.945083316576,5,False
GUT930,Central Africa,1014,775.0,26202.641983027217,5,False
GUT930,Central America,1014,13724.0,600787.5827478813,6,False
GUT930,Central Asia,1014,282.0,12530.054047839752,6,False
GUT930,East Africa,1014,910.0,35817.69936143103,5,False
GUT930,East of USA,1014,819.0,48512.3916780106,8,False
GUT930,Northern Europe,203,8.0,460.94009451102033,8,False
GUT930,Northern Europe,364,7.0,403.3225826971428,8,False
GUT930,Northern Europe,647,8.0,460.94009451102033,8,False
GUT930,Northern Europe,773,8.0,460.94009451102033,8,False
GUT930,Northern Europe,982,11.0,633.792629952653,8,False
GUT930,Northern Europe,1014,4353.0,250809.02892580893,8,False
GUT930,Oceania,1014,4146.0,158401.66937477785,5,False
GUT930,South America,1014,3169.0,161024.39324106724,7,False
GUT930,South Asia,37,60.0,1702.1267189122955,4,False
GUT930,South Asia,44,52.0,1475.1764897239893,4,False
GUT930,South Asia,93,40.0,1134.7511459415302,4,False
GUT930,South Asia,116,53.0,1503.5452683725275,4,False
GUT930,South Asia,134,56.0,1588.6516043181423,4,False
GUT930,South Asia,135,70.0,1985.814505397678,4,False
GUT930,South Asia,172,49.0,1390.0701537783746,4,False
GUT930,South Asia,235,50.0,1418.4389324269127,4,False
GUT930,South Asia,249,52.0,1475.1764897239893,4,False
GUT930,South Asia,273,37.0,1049.6448099959155,4,False
GUT930,South Asia,276,68.0,1929.0769481006014,4,False
GUT930,South Asia,278,66.0,1872.339390803525,4,False
GUT930,South Asia,282,74.0,2099.289619991831,4,False
GUT930,South Asia,365,4010.0,113758.80238063842,4,False
GUT930,South Asia,564,60.0,1702.1267189122955,4,False
GUT930,South Asia,565,91.0,2581.558857016981,4,False
GUT930,South Asia,567,59.0,1673.757940263757,4,False
GUT930,South Asia,572,46.0,1304.9638178327598,4,False
GUT930,South Asia,642,43.0,1219.857481887145,4,False
GUT930,South Asia,703,53.0,1503.5452683725275,4,False
GUT930,South Asia,728,94.0,2666.665192962596,4,False
GUT930,South Asia,771,59.0,1673.757940263757,4,False
GUT930,South Asia,775,53.0,1503.5452683725275,4,False
GUT930,South Asia,778,95.0,2695.0339716111343,4,False
GUT930,South Asia,792,36.0,1021.2760313473773,4,False
GUT930,South Asia,793,32.0,907.8009167532242,4,False
GUT930,South Asia,797,52.0,1475.1764897239893,4,False
GUT930,South Asia,804,104.0,2950.3529794479787,4,False
GUT930,South Asia,810,77.0,2184.3959559374457,4,False
GUT930,South Asia,818,54.0,1531.914047021066,4,False
GUT930,South Asia,821,50.0,1418.4389324269127,4,False
GUT930,South Asia,822,45.0,1276.5950391842216,4,False
GUT930,South Asia,823,66.0,1872.339390803525,4,False
GUT930,South Asia,825,91.0,2581.558857016981,4,False
GUT930,South Asia,828,87.0,2468.0837424228284,4,False
GUT930,South Asia,835,60.0,1702.1267189122955,4,False
GUT930,South Asia,885,104.0,2950.3529794479787,4,False
GUT930,South Asia,886,60.0,1702.1267189122955,4,False
GUT930,South Asia,893,36.0,1021.2760313473773,4,False
GUT930,South Asia,897,68.0,1929.0769481006014,4,False
GUT930,South Asia,905,35.0,992.907252698839,4,False
GUT930,South Asia,906,57.0,1617.0203829666807,4,False
GUT930,South Asia,917,68.0,1929.0769481006014,4,False
GUT930,South Asia,924,61.0,1730.4954975608337,4,False
GUT930,South Asia,926,36.0,1021.2760313473773,4,False
GUT930,South Asia,977,63.0,1787.2330548579102,4,False
GUT930,South Asia,1014,2939.0,83375.84044805393,4,False
