warehouse_id,product_id,stocked,flow_capacity
GUT930,24,1,6825.599999999999
GUT930,37,1,6796.8
GUT930,61,1,2419.2
GUT930,116,1,1382.3999999999999
GUT930,127,1,2347.2
GUT930,134,1,3628.7999999999997
GUT930,135,1,5500.8
GUT930,172,1,6955.2
GUT930,191,1,3484.7999999999997
GUT930,216,1,2995.2
GUT930,235,1,6566.4
GUT930,249,1,1958.3999999999999
GUT930,251,1,8438.4
GUT930,258,1,4046.3999999999996
GUT930,282,1,1843.1999999999998
GUT930,295,1,2649.6
GUT930,305,1,4118.4
GUT930,359,1,2793.6
GUT930,364,1,4132.8
GUT930,403,1,4492.8
GUT930,502,1,3268.7999999999997
GUT930,567,1,3830.3999999999996
GUT930,572,1,8251.199999999999
GUT930,627,1,6811.2
GUT930,646,1,3326.4
GUT930,647,1,3168.0
GUT930,652,1,849.6
GUT930,671,1,3916.7999999999997
GUT930,677,1,7084.8
GUT930,691,1,2203.2
GUT930,715,1,4276.8
GUT930,730,1,7545.599999999999
GUT930,768,1,2232.0
GUT930,771,1,2275.2
GUT930,775,1,5889.599999999999
GUT930,786,1,1944.0
GUT930,792,1,4766.4
GUT930,793,1,2577.6
GUT930,810,1,3009.6
GUT930,818,1,4276.8
GUT930,822,1,6062.4
GUT930,823,1,3643.2
GUT930,828,1,6595.2
GUT930,845,1,4622.4
GUT930,885,1,10353.6
GUT930,897,1,4593.599999999999
GUT930,906,1,5904.0
GUT930,957,1,1785.6
GUT930,977,1,2750.4
GUT930,1004,1,3398.4
GUT930,1059,1,2203.2
GUT930,1346,1,5356.8
GUT930,1348,1,1036.8
GUT930,1350,1,6609.599999999999
GUT930,1352,1,5832.0
GUT930,1355,1,5040.0
GUT930,1356,1,3312.0
GUT930,1358,1,5342.4
GUT930,1360,1,4118.4
GUT930,1361,1,6004.8
GUT930,1362,1,2649.6
AXW291,37,1,3369.6
AXW291,44,1,1656.0
AXW291,93,1,4752.0
AXW291,116,1,5227.2
AXW291,134,1,3110.4
AXW291,135,1,6177.599999999999
AXW291,172,1,8251.199999999999
AXW291,249,1,2779.2
AXW291,273,1,4320.0
AXW291,276,1,3614.4
AXW291,278,1,403.2
AXW291,282,1,489.59999999999997
AXW291,295,1,3686.3999999999996
AXW291,365,1,3830.3999999999996
AXW291,502,1,2865.6
AXW291,567,1,1785.6
AXW291,572,1,6552.0
AXW291,703,1,3801.6
AXW291,724,1,835.1999999999999
AXW291,771,1,2678.4
AXW291,818,1,6480.0
AXW291,821,1,2491.2
AXW291,823,1,3945.6
